type,count,unique_users,
LineToolHorzLine,1817188,100138,21.18%
LineToolTrendLine,1048878,98922,42.11%
LineToolHorzRay,811820,52287,53.17%
LineToolRectangle,539137,51608,64.09%
LineToolRiskRewardLong,140053,21639,68.67%
LineToolFibRetracement,136745,30074,75.03%
LineToolParallelChannel,84378,14754,78.15%
LineToolBrush,83709,10007,80.27%
LineToolVertLine,77043,8595,82.09%
LineToolText,74056,8681,83.92%
LineToolPriceRange,56019,7873,85.59%
LineToolRiskRewardShort,51031,11299,87.98%
LineToolRay,42114,6857,89.43%
LineToolAnchoredVWAP,29084,3832,90.24%
LineToolExtended,21900,3148,90.90%
LineToolFixedRangeVolumeProfile,20768,2599,91.45%
LineToolArrow,13317,1851,91.85%
LineToolTrendBasedFibExtension,10603,2686,92.41%
LineToolCircle,10190,1488,92.73%
LineToolPath,9948,3671,93.51%
LineToolRegressionTrend,6867,2168,93.96%
LineToolDateAndPriceRange,6847,1289,94.24%
LineToolVbPFixed,6724,2119,94.69%
LineToolHighlighter,6111,1084,94.91%
LineToolElliottImpulse,5935,1615,95.26%
LineToolInfoLine,5790,1343,95.54%
LineToolCrossLine,5701,792,95.71%
LineToolRotatedRectangle,5556,1344,95.99%
LineToolArrowMarkUp,5504,955,96.19%
LineToolArrowMarkDown,4200,784,96.36%
LineToolEmoji,4128,961,96.56%
LineToolCallout,3873,491,96.67%
LineToolEllipse,3809,856,96.85%
LineToolArrowMarker,3757,945,97.05%
LineToolElliottCorrection,3313,945,97.25%
LineToolPriceLabel,2878,365,97.33%
LineToolBezierQuadro,2637,743,97.48%
LineToolDateRange,2592,650,97.62%
LineToolTrendAngle,2262,826,97.80%
LineTool5PointsPattern,2210,1048,98.02%
LineToolArc,2146,712,98.17%
LineToolHeadAndShoulders,2005,1106,98.40%
LineToolElliottTriangle,1866,357,98.48%
LineToolPriceNote,1793,182,98.52%
LineToolTriangle,1663,388,98.60%
LineToolIcon,1461,77,98.61%
LineToolGannSquare,1378,453,98.71%
LineToolFlatBottom,1029,512,98.82%
LineToolTrianglePattern,921,431,98.91%
LineToolABCD,856,397,98.99%
LineToolCircleLines,818,270,99.05%
LineToolFibChannel,803,335,99.12%
LineToolGannFan,753,186,99.16%
LineToolComment,634,160,99.19%
LineToolFlagMark,632,108,99.22%
LineToolNote,622,170,99.25%
LineToolPrediction,541,240,99.30%
LineToolBarsPattern,541,358,99.38%
LineToolTextAbsolute,460,186,99.42%
LineToolPolyline,354,122,99.44%
LineToolGannComplex,350,58,99.46%
LineToolArrowMarkRight,342,122,99.48%
LineToolDisjointAngle,315,195,99.52%
LineToolGhostFeed,314,252,99.58%
LineToolFibSpeedResistanceFan,266,142,99.61%
LineToolFibTimeZone,263,176,99.64%
LineToolThreeDrivers,252,192,99.69%
LineToolProjection,251,217,99.73%
LineToolArrowMarkLeft,209,90,99.75%
LineToolPitchfork,203,112,99.77%
LineToolTrendBasedFibTime,195,114,99.80%
LineToolGannFixed,187,100,99.82%
LineToolSticker,175,5,99.82%
LineToolSignpost,168,49,99.83%
LineToolTextNote,143,33,99.84%
LineToolFibCircles,141,62,99.85%
LineToolTimeCycles,140,101,99.87%
LineToolPitchfan,137,68,99.89%
LineToolSineLine,95,67,99.90%
LineToolElliottTripleCombo,88,64,99.91%
LineToolCypherPattern,85,79,99.93%
LineToolFibSpeedResistanceArcs,80,51,99.94%
LineToolElliottDoubleCombo,76,47,99.95%
LineToolSchiffPitchfork2,61,33,99.96%
LineToolTable,52,17,99.96%
LineToolBezierCubic,51,33,99.97%
LineToolNoteAbsolute,48,33,99.98%
LineToolFibSpiral,47,34,99.98%
LineToolFibWedge,44,42,99.99%
LineToolSchiffPitchfork,31,17,100.00%
LineToolInsidePitchfork,21,20,100.00%
